EnrollmentID,LearnerID,CourseID,InstructorID,DateID,EnrollmentSource,EnrollmentStatus,CompletionDate,TimeSpentDays,CreatedDate,ApplicationDate
1,12037,155,240,100,Direct,Completed,4/9/2022,142,1/2/2024,4/3/2020 18:54
2,17486,35,199,533,LinkedIn,Completed,10/24/2020,78,2/5/2025,6/13/2021 7:52
3,4056,67,69,1017,AdWords,In Progress,6/8/2023,42,3/10/2021,10/1/2022 9:12
4,2136,78,290,257,AdWords,Dropped,1/24/2020,166,3/17/2023,8/30/2020 16:11
5,17630,175,339,1695,LinkedIn,In Progress,4/12/2025,35,5/22/2023,8/11/2024 0:18
6,4883,142,124,1419,Referral,Completed,11/12/2024,47,12/30/2022,11/12/2023 12:12
7,7594,12,100,886,Referral,Completed,7/27/2023,129,10/14/2020,5/23/2022 12:26
8,17761,89,89,33,AdWords,Completed,6/7/2020,37,5/22/2022,1/29/2020 23:37
9,18956,112,458,1276,Referral,Completed,4/30/2025,101,7/10/2022,6/23/2023 15:32
10,3105,114,52,1813,Referral,In Progress,6/16/2023,54,2/22/2021,12/8/2024 8:05
11,11029,87,173,501,LinkedIn,Completed,2/23/2024,102,1/1/2020,5/13/2021 9:12
12,9459,130,267,1951,Direct,Dropped,4/18/2022,100,7/30/2025,4/28/2025 5:12
13,15365,176,287,1159,Referral,Dropped,3/29/2022,159,8/3/2021,2/22/2023 4:12
14,9934,186,252,1249,AdWords,Dropped,11/20/2021,149,4/11/2023,5/23/2023 1:19
15,14345,66,309,161,Direct,Dropped,8/7/2022,114,3/29/2021,6/2/2020 10:35
16,18123,54,444,1394,Direct,Dropped,12/2/2021,157,1/30/2020,10/21/2023 8:36
17,1735,159,314,1236,Direct,Completed,10/17/2023,60,5/7/2023,5/17/2023 5:44
18,12586,54,416,242,Referral,Completed,7/20/2020,152,1/30/2024,8/22/2020 7:08
19,764,165,239,1527,LinkedIn,In Progress,7/9/2023,106,9/20/2025,2/28/2024 8:16
20,10520,51,163,407,AdWords,Dropped,9/12/2023,50,11/2/2021,2/8/2021 8:34
21,16128,16,130,289,LinkedIn,Dropped,1/12/2025,37,4/20/2023,10/10/2020 7:58
22,13536,77,152,52,Referral,Dropped,9/13/2024,115,5/1/2021,2/17/2020 11:51
23,12166,156,83,465,Direct,Completed,12/20/2025,99,9/14/2022,4/8/2021 7:17
24,16701,141,72,818,LinkedIn,Completed,2/17/2025,110,8/1/2020,3/21/2022 2:24
25,2134,129,16,1270,Referral,Completed,8/15/2021,43,6/8/2020,6/12/2023 12:58
26,17184,93,439,783,AdWords,In Progress,8/27/2020,142,9/29/2020,2/8/2022 18:14
27,11536,124,260,670,LinkedIn,Completed,12/15/2024,40,6/21/2020,10/26/2021 1:22
28,1650,63,397,1639,Direct,Completed,10/17/2022,12,2/1/2025,6/25/2024 16:00
29,11066,178,75,1497,Direct,Dropped,4/15/2023,87,12/14/2025,1/25/2024 15:40
30,4367,100,196,1058,Direct,Dropped,2/5/2023,153,11/9/2023,11/19/2022 3:37
31,3804,91,388,791,Direct,Dropped,1/2/2020,11,6/28/2023,3/1/2022 17:17
32,12053,196,230,139,Direct,In Progress,8/18/2021,44,7/6/2023,5/7/2020 13:00
33,4832,177,399,1425,Referral,In Progress,9/9/2023,145,9/16/2022,11/16/2023 1:53
34,9202,195,206,1414,LinkedIn,Dropped,5/9/2020,57,12/23/2022,11/9/2023 12:38
35,1696,133,344,767,AdWords,In Progress,5/29/2023,79,11/16/2024,1/24/2022 20:09
36,1677,140,306,441,Referral,In Progress,6/19/2023,16,3/30/2021,3/5/2021 19:30
37,16641,102,205,221,Direct,In Progress,7/27/2020,129,7/4/2024,7/31/2020 16:37
38,4620,184,88,1606,LinkedIn,Completed,11/2/2022,85,10/4/2023,5/24/2024 14:06
39,17887,16,271,1412,Direct,In Progress,8/11/2022,98,9/20/2020,11/2/2023 19:37
40,3291,131,94,895,Referral,Dropped,11/22/2022,173,10/29/2020,6/3/2022 4:07
41,3070,117,468,248,Referral,Completed,11/14/2022,68,2/13/2025,8/21/2020 6:33
42,9738,168,7,1295,LinkedIn,Dropped,12/31/2020,139,2/13/2020,7/9/2023 17:08
43,6044,80,278,355,AdWords,Dropped,10/31/2024,169,10/5/2023,12/9/2020 23:24
44,8344,105,95,1341,AdWords,Completed,7/24/2024,38,4/8/2022,8/22/2023 10:26
45,12650,58,332,446,LinkedIn,In Progress,12/1/2022,61,5/28/2023,3/7/2021 17:40
46,11827,181,121,212,LinkedIn,In Progress,5/16/2020,92,9/18/2025,7/17/2020 4:06
47,10313,182,479,1653,Referral,In Progress,9/22/2021,66,2/10/2025,6/27/2024 12:31
48,7584,192,37,1046,AdWords,Completed,6/12/2024,168,2/2/2020,10/28/2022 17:08
49,18346,8,264,1680,AdWords,In Progress,8/8/2022,86,4/28/2024,7/24/2024 1:16
50,3721,50,246,561,Referral,Completed,3/19/2024,166,6/11/2023,7/12/2021 19:34
51,5158,50,172,1397,Referral,In Progress,12/18/2023,33,7/19/2020,10/17/2023 3:47
52,19799,141,443,1522,Direct,In Progress,1/5/2020,71,10/28/2025,2/24/2024 12:15
53,9897,39,444,358,LinkedIn,Dropped,7/14/2020,170,10/19/2020,12/20/2020 23:01
54,18445,98,497,1729,AdWords,In Progress,6/6/2025,94,4/22/2025,9/16/2024 15:42
55,6612,151,310,1251,Referral,Completed,12/14/2022,85,9/30/2022,6/2/2023 5:30
56,3984,158,190,59,Referral,Completed,1/27/2021,45,7/25/2024,2/24/2020 7:15
57,4768,60,330,1990,LinkedIn,Dropped,4/29/2020,120,5/5/2025,6/10/2025 15:46
58,15353,162,274,1081,LinkedIn,Dropped,7/11/2024,47,8/17/2025,12/10/2022 12:32
59,4800,83,491,1032,AdWords,Dropped,6/21/2023,24,9/24/2021,10/24/2022 22:20
60,18346,118,4,789,Referral,In Progress,2/1/2024,174,1/26/2023,2/19/2022 3:16
61,18579,65,317,546,Direct,In Progress,8/29/2024,42,3/12/2024,6/23/2021 1:34
62,6036,84,32,314,Direct,Completed,3/27/2021,163,3/1/2023,11/8/2020 8:53
63,16915,40,152,768,Direct,In Progress,11/23/2025,52,7/25/2021,2/3/2022 17:53
64,10841,7,469,1575,AdWords,Dropped,4/1/2020,100,6/20/2024,4/15/2024 16:50
65,14912,166,220,1468,LinkedIn,In Progress,12/10/2023,114,2/20/2023,12/27/2023 7:51
66,12343,20,398,960,LinkedIn,In Progress,4/18/2020,102,2/11/2020,8/4/2022 14:06
67,5276,106,423,1859,AdWords,In Progress,5/16/2024,130,6/12/2022,1/31/2025 8:53
68,5199,65,113,1155,AdWords,Dropped,11/15/2024,128,9/9/2025,2/19/2023 16:28
69,19957,77,436,1801,Direct,Completed,8/4/2024,30,6/10/2025,11/27/2024 22:10
70,14202,19,37,697,Direct,Dropped,11/21/2024,171,3/23/2025,11/18/2021 1:29
71,13556,34,107,1194,AdWords,Completed,7/12/2021,171,9/25/2024,4/4/2023 5:17
72,16983,80,63,93,Referral,Completed,10/16/2022,95,7/30/2023,4/1/2020 4:56
73,10559,197,472,815,AdWords,Completed,3/14/2024,163,12/25/2022,3/22/2022 16:45
74,18663,108,85,171,AdWords,In Progress,6/26/2025,150,4/16/2020,6/8/2020 1:15
75,17742,129,274,654,LinkedIn,Completed,12/29/2020,117,6/6/2024,10/1/2021 17:05
76,16693,135,287,992,LinkedIn,In Progress,9/27/2022,169,5/3/2025,9/7/2022 9:01
77,6761,111,204,1859,LinkedIn,Completed,9/12/2024,59,2/27/2020,1/26/2025 9:54
78,17829,115,72,628,Direct,In Progress,5/25/2021,106,2/27/2024,9/8/2021 5:42
79,4205,102,18,1147,Referral,In Progress,11/19/2021,172,7/14/2024,2/8/2023 11:42
80,15347,150,373,534,Direct,In Progress,7/17/2020,168,9/30/2020,6/10/2021 16:57
81,11679,185,426,314,AdWords,Completed,9/18/2022,30,6/6/2021,10/26/2020 12:09
82,12312,28,278,1586,AdWords,Completed,2/18/2022,103,12/25/2020,5/2/2024 19:03
83,18559,45,497,2151,Referral,In Progress,11/22/2020,164,2/7/2025,11/7/2025 15:48
84,14823,5,436,202,LinkedIn,In Progress,11/18/2020,11,4/30/2023,7/20/2020 9:09
