QuizAttemptID,EnrollmentID,QuizType,Score,MaxScore,AttemptDate,CreatedDate
1,715,Final,86.95,100,2020-07-19,2024-12-06
2,11723,Pre-test,84.44,100,2025-01-10,2023-01-20
3,17603,Final,63.78,100,2024-01-30,2024-02-29
4,19265,Final,40.21,100,2022-04-30,2020-05-19
5,4736,Final,40.18,100,2025-12-29,2025-10-24
6,9474,Final,80.73,100,2022-03-19,2024-04-28
7,17583,Pre-test,80.74,100,2020-02-18,2025-01-11
8,14063,Pre-test,78.37,100,2024-06-02,2020-02-06
9,95,Final,53.2,100,2022-11-02,2021-04-29
10,11437,Weekly,55.37,100,2024-05-12,2025-05-12
11,10689,Weekly,47.26,100,2025-04-13,2021-05-12
12,16879,Final,95.16,100,2021-02-20,2020-09-16
13,22862,Final,47.03,100,2024-10-05,2020-09-02
14,10930,Final,44.32,100,2024-11-26,2024-02-24
15,17947,Pre-test,99.11,100,2021-11-24,2025-07-09
16,22835,Final,83.03,100,2023-01-02,2025-04-01
17,16437,Weekly,66.36,100,2023-09-01,2023-04-10
18,6969,Weekly,76.49,100,2020-03-04,2021-09-29
19,12783,Final,93.42,100,2020-02-16,2024-03-14
20,18790,Weekly,94.63,100,2020-03-23,2025-01-17
21,4439,Pre-test,46.11,100,2020-06-29,2020-12-30
22,20419,Weekly,59.34,100,2024-04-28,2020-10-31
23,16417,Weekly,58.36,100,2020-02-21,2022-08-07
24,6498,Pre-test,78.75,100,2021-04-17,2023-01-31
25,4033,Final,87.64,100,2022-01-30,2022-10-22
26,6732,Pre-test,50.29,100,2020-06-06,2021-05-21
27,15680,Final,66.05,100,2022-10-05,2020-11-03
28,24819,Weekly,85.38,100,2022-01-21,2023-01-12
29,20086,Pre-test,91.23,100,2021-01-15,2024-04-20
30,11831,Final,88.32,100,2021-05-12,2023-01-09
31,14036,Final,92.95,100,2020-09-22,2021-04-28
32,540,Pre-test,69.88,100,2022-11-24,2024-06-17
33,15167,Pre-test,94.19,100,2021-12-04,2021-10-03
34,20747,Final,96.17,100,2023-05-16,2024-04-09
35,6597,Weekly,67.09,100,2024-06-01,2021-07-30
36,2556,Pre-test,74.32,100,2024-07-05,2021-06-21
37,10485,Weekly,58.7,100,2023-03-23,2025-07-27
38,19413,Weekly,49.5,100,2024-06-09,2020-05-31
39,14441,Final,78.79,100,2020-09-23,2022-09-06
40,1181,Pre-test,40.01,100,2023-04-06,2022-08-29
41,2358,Weekly,80.94,100,2022-10-06,2021-01-31
42,18116,Final,40.99,100,2023-11-29,2023-10-15
43,2606,Pre-test,49.26,100,2025-11-17,2024-05-27
44,17983,Final,93.47,100,2021-09-06,2024-09-20
45,2269,Pre-test,43.62,100,2021-11-25,2021-11-07
46,13008,Final,89.08,100,2023-07-17,2021-04-14
47,13672,Pre-test,67.92,100,2020-02-02,2023-08-19
48,1570,Pre-test,48.07,100,2021-12-01,2024-01-19
49,10694,Final,54.62,100,2024-03-25,2021-11-24
50,11241,Weekly,97.33,100,2021-11-18,2023-12-22
51,23021,Pre-test,71.05,100,2024-08-18,2020-04-05
52,13987,Final,44.68,100,2021-12-28,2022-04-23
53,15652,Pre-test,52.89,100,2024-01-20,2022-08-20
54,21642,Weekly,55.42,100,2023-12-09,2025-01-01
